,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,MA,Return
0,2007-01-03,142.25,142.860001,140.570007,141.369995,107.832581,94807600,0.2387214836144423,141.79699859999954,-0.1765287451111688
1,2007-01-04,141.229996,142.050003,140.610001,141.669998,108.06143999999999,69620600,0.23720955341421246,141.76899869999954,0.21221122629310682
2,2007-01-05,141.330002,141.399994,140.380005,140.53999299999998,107.199524,76645300,0.339690478216296,141.60099789999953,-0.7976318316881824
3,2007-01-08,140.820007,141.41000400000001,140.25,141.190002,107.695328,71655000,0.31850507961776714,141.50599819999954,0.4625082057603429
4,2007-01-09,141.309998,141.600006,140.399994,141.070007,107.60376000000001,75680100,0.33318951722304674,141.45099939999955,-0.08498831241605107
5,2007-01-10,140.580002,141.570007,140.300003,141.53999299999998,107.96228,72428000,0.2786005980266171,141.52999869999954,0.3331579901317913
6,2007-01-11,141.580002,142.619995,141.5,142.16000400000001,108.43521100000001,54476800,0.31467720962829926,141.58799889999955,0.43804651028916874
7,2007-01-12,142.149994,143.240005,142.110001,143.240005,109.25901,55370600,0.49725279822949797,141.66099989999958,0.7597080540318369
8,2007-01-16,143.070007,143.440002,142.729996,142.96000700000002,109.045418,44871300,0.6302288632295014,141.73599989999957,-0.19547472090634022
9,2007-01-17,142.850006,143.46000700000002,142.729996,143.020004,109.091187,50241400,0.774149550427972,141.87600079999956,0.041967681213097185
10,2007-01-18,143.169998,143.259995,142.309998,142.53999299999998,108.725052,68177300,0.7789449744306493,141.99300059999956,-0.33562507801357555
11,2007-01-19,142.53999299999998,143.100006,142.46000700000002,142.820007,108.938644,56973000,0.82368065803326,142.10800149999955,0.19644591956730534
12,2007-01-22,143.070007,143.100006,141.929993,142.380005,108.603027,60253600,0.5513577412258146,142.29200269999956,-0.30808148609038555
13,2007-01-23,142.259995,143.080002,142.059998,142.800003,108.92338600000001,54064400,0.42980258522576287,142.45300279999955,0.2949838356867543
14,2007-01-24,142.970001,143.979996,142.91000400000001,143.949997,109.800537,55834700,0.37969058642636233,142.74100179999954,0.8053179102524195
15,2007-01-25,143.860001,143.919998,142.009995,142.259995,108.511475,73583800,0.25340109802319705,142.81300199999956,-1.1740201703512314
16,2007-01-26,142.570007,142.649994,141.580002,142.130005,108.4123,67255600,0.25739995002368754,142.81000209999954,-0.09137495049117095
17,2007-01-29,142.190002,142.800003,141.740005,142.050003,108.351326,66114600,0.2825085162228881,142.69100189999955,-0.056287903458532525
18,2007-01-30,142.350006,142.860001,142.059998,142.78999299999998,108.91581000000001,70407600,0.27596301802624673,142.67400049999955,0.5209362790368808
